epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0764,1.05615,2.29581,1.42195,0.00429,1,0.96188,0.81958,0.48691,2.45222,0.64822,0.00018,0.00018,0.00018
2,45.7578,0.77724,1.80631,1.20275,1,0.9849,0.995,0.79992,0.47447,2.05235,0.6986,0.00035492,0.00035492,0.00035492
3,52.2216,0.78237,1.30297,1.22453,0.94697,0.94012,0.98497,0.70026,0.52347,1.72082,0.87692,0.00050344,0.00050344,0.00050344
4,58.7574,0.60074,0.97572,1.08718,0.6603,0.92123,0.74708,0.62701,0.41623,1.60269,0.75855,0.00062556,0.00062556,0.00062556
5,65.6267,0.61886,0.91783,1.10633,0.8257,0.9974,0.91176,0.78782,0.40929,0.9744,0.64646,0.00072128,0.00072128,0.00072128
6,72.8592,0.39593,1.29888,0.98427,0.92654,1,0.9875,0.8951,0.36612,2.1426,0.55954,0.0007906,0.0007906,0.0007906
7,79.4381,0.35994,1.06603,0.99153,0.90205,1,0.995,0.91513,0.34855,2.65419,0.55088,0.00083352,0.00083352,0.00083352
8,85.7446,0.33724,0.93005,0.95441,0.88374,1,0.96492,0.82163,0.51799,3.84913,0.6978,0.00085004,0.00085004,0.00085004
9,92.1376,0.30695,0.84827,0.915,0.99422,1,0.995,0.89739,0.47128,1.94433,0.59881,0.00084016,0.00084016,0.00084016
10,97.8954,0.28863,0.84057,0.92136,0.97695,1,0.995,0.92744,0.37588,0.97718,0.56789,0.00080388,0.00080388,0.00080388
11,104.29,0.29372,0.77045,0.9252,0.98974,1,0.995,0.91466,0.44455,1.01472,0.62075,0.00068,0.00068,0.00068
12,110.555,0.29638,0.79513,0.95992,0.98733,1,0.995,0.9552,0.3815,0.88384,0.58087,0.000548,0.000548,0.000548
13,116.413,0.25464,0.71764,0.92613,0.98878,1,0.995,0.96425,0.36266,0.74604,0.58093,0.000416,0.000416,0.000416
14,122.251,0.22813,0.70269,0.88304,0.99624,1,0.995,0.96578,0.33017,0.69018,0.56353,0.000284,0.000284,0.000284
15,128.12,0.2357,0.67636,0.92082,0.99628,1,0.995,0.9705,0.30762,0.67063,0.54943,0.000152,0.000152,0.000152
