epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4866,0.98342,2.33135,1.52522,0.00333,1,0.90122,0.72274,0.4242,2.92532,0.9333,0.00028,0.00028,0.00028
2,25.1013,0.69574,1.54531,1.29844,0.70346,0.17241,0.69665,0.53952,0.61296,2.68545,1.18822,0.000568516,0.000568516,0.000568516
3,35.7,0.61681,1.28014,1.24013,0.28662,0.58621,0.24367,0.12349,1.57133,3.37103,2.22868,0.000845152,0.000845152,0.000845152
4,47.0309,0.65958,1.17963,1.26805,0.2114,0.62069,0.21869,0.08323,1.58924,4.58582,2.12772,0.00110991,0.00110991,0.00110991
5,57.9033,0.65797,1.06393,1.2842,0.43367,0.82759,0.45867,0.2603,1.05676,4.37223,1.50766,0.00136278,0.00136278,0.00136278
6,69.2977,0.66846,1.06885,1.25714,0.5732,0.75862,0.75309,0.44027,1.25953,5.3453,1.75812,0.00160378,0.00160378,0.00160378
7,82.2251,0.55963,1.01205,1.18015,0.83797,0.96552,0.90689,0.6912,0.77099,2.12492,1.14055,0.0017624,0.0017624,0.0017624
8,94.0621,0.58085,1.04915,1.21768,0.83788,0.89123,0.92629,0.76948,0.62569,1.92513,1.08466,0.0017228,0.0017228,0.0017228
9,106.523,0.58246,0.98924,1.19293,0.7454,0.65517,0.7756,0.56185,0.86792,2.35518,1.32623,0.0016832,0.0016832,0.0016832
10,119.587,0.49376,0.84021,1.08969,0.54415,0.94692,0.69691,0.52447,0.63882,2.70057,1.09988,0.0016436,0.0016436,0.0016436
11,132.94,0.5767,0.94341,1.1949,0.64874,0.89173,0.90872,0.71131,0.67389,2.57594,1.19898,0.001604,0.001604,0.001604
12,145.853,0.5426,0.88471,1.12955,0.51434,0.80359,0.6124,0.32995,1.00605,3.60319,1.32137,0.0015644,0.0015644,0.0015644
13,159.004,0.48401,0.82781,1.09734,0.62938,0.82759,0.79269,0.57179,0.63414,2.25278,1.10491,0.0015248,0.0015248,0.0015248
14,172.16,0.52955,0.85558,1.12684,0.81064,0.82759,0.90331,0.74473,0.55257,1.79261,1.02266,0.0014852,0.0014852,0.0014852
15,186.062,0.50276,0.83593,1.16018,0.79319,0.92589,0.93097,0.84757,0.47806,1.80234,0.89342,0.0014456,0.0014456,0.0014456
16,200.919,0.48233,0.80137,1.14941,0.74165,0.93103,0.90691,0.69389,0.65689,2.24675,1.01118,0.001406,0.001406,0.001406
17,215.565,0.47402,0.7495,1.07402,0.90219,1,0.98545,0.86481,0.4911,1.12292,0.89031,0.0013664,0.0013664,0.0013664
18,230.66,0.45454,0.72594,1.1189,0.99463,1,0.995,0.91578,0.46538,0.93401,0.9878,0.0013268,0.0013268,0.0013268
19,245.74,0.46724,0.6759,1.10168,0.95949,1,0.98833,0.82662,0.66268,1.10677,1.02916,0.0012872,0.0012872,0.0012872
20,259.958,0.42579,0.68229,1.04079,0.96644,0.99316,0.993,0.86834,0.5826,1.05715,0.95827,0.0012476,0.0012476,0.0012476
21,274.872,0.40657,0.63965,1.0458,0.9652,1,0.98267,0.89572,0.43093,0.95664,0.812,0.001208,0.001208,0.001208
22,289.448,0.41709,0.65928,1.07043,0.96639,0.99167,0.99067,0.87428,0.43372,0.98044,0.814,0.0011684,0.0011684,0.0011684
23,303.748,0.45951,0.65126,1.10075,0.88997,0.89655,0.97211,0.89527,0.46133,0.93695,0.8701,0.0011288,0.0011288,0.0011288
24,317.032,0.40737,0.63128,1.06379,0.9989,0.82759,0.96552,0.84319,0.52628,1.01469,0.92802,0.0010892,0.0010892,0.0010892
25,332.333,0.37468,0.63202,1.01274,0.98988,0.96552,0.98675,0.78724,0.59468,1.16773,0.99905,0.0010496,0.0010496,0.0010496
26,347.409,0.33457,0.54629,0.99885,0.99835,1,0.995,0.81291,0.52188,1.12084,0.91397,0.00101,0.00101,0.00101
27,362.996,0.36509,0.55097,1.02408,0.99567,1,0.995,0.97297,0.32379,0.92933,0.69955,0.0009704,0.0009704,0.0009704
28,379.196,0.35453,0.5606,1.04911,0.99487,0.86207,0.86522,0.82017,0.32391,0.82381,0.72719,0.0009308,0.0009308,0.0009308
29,397.847,0.34983,0.53763,0.9955,0.99647,0.65517,0.65559,0.62944,0.28659,0.64501,0.69312,0.0008912,0.0008912,0.0008912
30,417.009,0.3175,0.51331,0.98512,0.99679,0.62069,0.62569,0.61791,0.25864,0.62078,0.67716,0.0008516,0.0008516,0.0008516
31,436.647,0.33705,0.51774,1.03446,0.99637,0.65517,0.65575,0.6361,0.33655,0.7514,0.74544,0.000812,0.000812,0.000812
32,456.876,0.33618,0.51474,1.01426,0.99629,0.68966,0.68573,0.64767,0.43903,0.77874,0.78658,0.0007724,0.0007724,0.0007724
33,478.287,0.32812,0.51207,1.0038,0.96289,0.89487,0.89153,0.81538,0.44936,0.78177,0.79176,0.0007328,0.0007328,0.0007328
34,496.965,0.32955,0.50008,1.02353,0.99394,0.62069,0.62586,0.6081,0.33626,0.66579,0.73078,0.0006932,0.0006932,0.0006932
35,516.01,0.31316,0.52785,1.00208,0.99402,0.58621,0.58591,0.57564,0.30004,0.63422,0.70248,0.0006536,0.0006536,0.0006536
36,535.234,0.28745,0.4481,0.96259,0.95412,0.71737,0.72382,0.71023,0.31977,0.71118,0.69585,0.000614,0.000614,0.000614
37,553.527,0.29555,0.46753,1.00729,0.99726,1,0.995,0.99142,0.25976,0.56998,0.64617,0.0005744,0.0005744,0.0005744
38,573.128,0.22851,0.42648,0.95664,0.99656,0.96552,0.96511,0.94497,0.24647,0.54429,0.6376,0.0005348,0.0005348,0.0005348
39,591.726,0.27549,0.42302,0.95402,0.99675,0.89655,0.89533,0.85941,0.30546,0.61169,0.67111,0.0004952,0.0004952,0.0004952
40,612.651,0.25097,0.41154,0.97645,0.98967,0.89655,0.89531,0.88515,0.22664,0.53519,0.63536,0.0004556,0.0004556,0.0004556
41,634.318,0.37179,1.3959,1.18377,0.99358,0.62069,0.62605,0.62189,0.21414,0.49237,0.63075,0.000416,0.000416,0.000416
42,655.045,0.2123,0.70467,0.93095,0.99776,0.7931,0.79556,0.78062,0.22258,0.54928,0.63697,0.0003764,0.0003764,0.0003764
43,673.44,0.20745,0.60791,0.94499,0.99816,0.96552,0.9651,0.9579,0.22768,0.5734,0.63625,0.0003368,0.0003368,0.0003368
44,690.975,0.17857,0.56257,0.95615,0.99822,1,0.995,0.9844,0.24089,0.57004,0.6369,0.0002972,0.0002972,0.0002972
45,707.661,0.20163,0.52759,1.00251,0.99811,1,0.995,0.98796,0.22715,0.58515,0.62555,0.0002576,0.0002576,0.0002576
46,722.262,0.15236,0.46816,0.92338,0.9981,1,0.995,0.99191,0.21437,0.59157,0.61857,0.000218,0.000218,0.000218
47,741.175,0.14759,0.45478,0.92666,0.99824,1,0.995,0.98644,0.19652,0.56346,0.60575,0.0001784,0.0001784,0.0001784
48,759.479,0.16211,0.45669,0.90953,0.99829,1,0.995,0.98447,0.19584,0.52546,0.6002,0.0001388,0.0001388,0.0001388
49,775.052,0.14037,0.44029,0.89605,0.99832,1,0.995,0.98398,0.19135,0.50599,0.59449,9.92e-05,9.92e-05,9.92e-05
50,789.512,0.13974,0.45617,0.88678,0.99834,1,0.995,0.98398,0.18857,0.50037,0.59126,5.96e-05,5.96e-05,5.96e-05
